data_mensal,ano,mes,preco_usd
2013-04-01,2013,4,137.52
2013-05-01,2013,5,119.42396774193548
2013-06-01,2013,6,107.80035862068964
2013-07-01,2013,7,89.98217096774194
2013-08-01,2013,8,113.73258064516128
2013-09-01,2013,9,130.714
2013-10-01,2013,10,157.7274193548387
2013-11-01,2013,11,533.301
2013-12-01,2013,12,808.5167741935484
2014-01-01,2014,1,842.9516129032259
2014-02-01,2014,2,666.6432142857142
2014-03-01,2014,3,592.5379032258064
2014-04-01,2014,4,460.5380666666667
2014-05-01,2014,5,484.47523548387096
2014-06-01,2014,6,612.14361
2014-07-01,2014,7,615.6321500076444
2014-08-01,2014,8,534.9412273417518
2014-09-01,2014,9,442.97731333333337
2014-10-01,2014,10,361.331502253619
2014-11-01,2014,11,364.42880163627166
2014-12-01,2014,12,340.4420594421721
2015-01-01,2015,1,248.62133699771456
2015-02-01,2015,2,233.98827194856668
2015-03-01,2015,3,268.2939496365833
2015-04-01,2015,4,234.9811464379908
2015-05-01,2015,5,236.89434497091383
2015-06-01,2015,6,237.9010399808965
2015-07-01,2015,7,278.7207387223268
2015-08-01,2015,8,251.4899869237965
2015-09-01,2015,9,233.4377965214629
2015-10-01,2015,10,265.03092751853615
2015-11-01,2015,11,347.92272
2015-12-01,2015,12,424.5273870967742
2016-01-01,2016,1,410.816170967742
2016-02-01,2016,2,403.20389655172414
2016-03-01,2016,3,414.8698387096774
2016-04-01,2016,4,434.2048666666667
2016-05-01,2016,5,461.9752258064516
2016-06-01,2016,6,642.125542229736
2016-07-01,2016,7,661.8538654850242
2016-08-01,2016,8,577.688033357651
2016-09-01,2016,9,604.7146045178117
2016-10-01,2016,10,641.1230746050722
2016-11-01,2016,11,724.3468902622135
2016-12-01,2016,12,824.6431416089134
2017-01-01,2017,1,910.3463943533916
2017-02-01,2017,2,1064.5357128761211
2017-03-01,2017,3,1129.982508925163
2017-04-01,2017,4,1217.1546531507236
2017-05-01,2017,5,1880.6084870967743
2017-06-01,2017,6,2653.764180778026
2017-07-01,2017,7,2514.096534111341
2017-08-01,2017,8,3803.650858560248
2017-09-01,2017,9,4051.9303820030063
2017-10-01,2017,10,5335.315072568365
2017-11-01,2017,11,7829.242708462563
2017-12-01,2017,12,15576.174009863027
2018-01-01,2018,1,13446.151589777295
2018-02-01,2018,2,9399.274259571272
2018-03-01,2018,3,9141.766464665145
2018-04-01,2018,4,7917.109074145067
2018-05-01,2018,5,8454.154228014308
2018-06-01,2018,6,6786.52430968524
2018-07-01,2018,7,7070.579081512246
2018-08-01,2018,8,6701.274601878541
2018-09-01,2018,9,6611.288494658302
2018-10-01,2018,10,6503.431572097321
